Data de vencimento,Número,Nome,Valor,Saldo,Situação,Liquidação,Data,Tipo,Descrição,Descrição - Portador,Nome - Vendedor,Data de vencimento original
11/2024,,COMBUSTIVEL,"656,75","656,75",Em aberto,00/00/0000,20/10/2024,-,Combustíveis e lubrificantes,Sicredi,-,28/11/2024
11/2024,527715,KALUNGA,"209,89","209,89",Em aberto,00/00/0000,04/11/2024,-,Material de escritório,Sicredi,-,28/11/2024
11/2024,,Pedagio,"52,6","52,6",Em aberto,00/00/0000,04/10/2024,-,Pedágios,Sicredi,-,28/11/2024
11/2024,539599,Elétrica Takei,"110,6","110,6",Em aberto,00/00/0000,18/10/2024,-,Limpeza e manutenção,Sicredi,-,28/11/2024
11/2024,23131,SASAKI EMBALAGENS,"214,75","214,75",Em aberto,00/00/0000,16/10/2024,-,Material de uso e consumo,Sicredi,-,28/11/2024
11/2024,18825,Patex Comerce,"116,9","116,9",Em aberto,00/00/0000,29/10/2024,-,Custo das mercadorias vendidas,Sicredi,-,28/11/2024
11/2024,298815,Franscar Auto Peças,"42,69","42,69",Em aberto,00/00/0000,18/10/2024,-,Material de uso e consumo,Sicredi,-,28/11/2024
,,,"52.636,88","52.636,88",,,,,,,,
12/2024,,HYPER CONSULTORIA,"2.500,00","2.500,00",Em aberto,00/00/0000,05/01/2024,-,-,Itaú,-,16/12/2024
12/2024,,HYPER CONSULTORIA,"2.500,00","2.500,00",Em aberto,00/00/0000,05/01/2024,-,-,Itaú,-,30/12/2024
12/2024,qc11501,Mayza Helena Moura Ceschin,"1.500,00","1.500,00",Em aberto,00/00/0000,12/01/2024,Boleto Bancário,Propaganda e publicidade,Itaú,-,16/12/2024
12/2024,qc11501,Mayza Helena Moura Ceschin,"1.500,00","1.500,00",Em aberto,00/00/0000,12/01/2024,Boleto Bancário,Propaganda e publicidade,Itaú,-,30/12/2024
12/2024,1005/12,Bitrix,259,259,Em aberto,00/00/0000,29/01/2024,Boleto Bancário,Software,Sicredi,-,30/12/2024
12/2024,08/2024,Telefonica Brasil S/A,"365,34","365,34",Em aberto,00/00/0000,31/01/2024,-,Telefone,Itaú,-,17/12/2024
12/2024,1234/11,BNI BRASIL,"334,59","334,59",Em aberto,00/00/0000,09/02/2024,-,-,Itaú,-,09/12/2024
12/2024,051816/11,SG3 Consultoria,50,50,Em aberto,00/00/0000,09/02/2024,-,-,Itaú,-,09/12/2024
12/2024,1457/11,Mercado Livre,"17.623,78","17.623,78",Em aberto,00/00/0000,19/02/2024,-,Financiamento/capital de giro,Caixa,-,17/12/2024
