Data de vencimento,Número,Nome,Valor,Saldo,Situação,Liquidação,Data,Tipo,Descrição,Descrição - Portador,Nome - Vendedor,Data de vencimento original
12/2024,103611/03,EVC INDUSTRIAL LTDA,"1.083,98","1.083,98",Em aberto,00/00/0000,31/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,17/12/2024
12/2024,236600/02,SPARTAN DO BRASIL PRODUTOS QUIMICOS LTDA,"1.927,23","1.927,23",Em aberto,00/00/0000,01/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,04/12/2024
12/2024,236600/03,SPARTAN DO BRASIL PRODUTOS QUIMICOS LTDA,"1.927,23","1.927,23",Em aberto,00/00/0000,01/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,11/12/2024
12/2024,236600/04,SPARTAN DO BRASIL PRODUTOS QUIMICOS LTDA,"1.927,23","1.927,23",Em aberto,00/00/0000,01/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,18/12/2024
12/2024,236600/05,SPARTAN DO BRASIL PRODUTOS QUIMICOS LTDA,"1.927,23","1.927,23",Em aberto,00/00/0000,01/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,25/12/2024
12/2024,236794/02,SPARTAN DO BRASIL PRODUTOS QUIMICOS LTDA,"920,79","920,79",Em aberto,00/00/0000,01/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,05/12/2024
12/2024,104142/02,EVC INDUSTRIAL LTDA,"1.206,40","1.206,40",Em aberto,00/00/0000,05/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,09/12/2024
12/2024,104142/03,EVC INDUSTRIAL LTDA,"1.206,41","1.206,41",Em aberto,00/00/0000,05/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,24/12/2024
12/2024,034923/01,G & S HOME SOLUTIONS,"4.576,60","4.576,60",Em aberto,00/00/0000,06/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,29/11/2024
12/2024,6448/2,contabilidade,"4.421,67","4.421,67",Em aberto,00/00/0000,06/11/2024,-,-,Itaú,-,26/12/2024
12/2024,20242000115035001/2,Prefeitura de Guarulhos,"322,93","322,93",Em aberto,00/00/0000,24/10/2024,-,Fiscalização,Itaú,-,30/12/2024
12/2024,6466/2,Google Internet,"8.000,00","8.000,00",Em aberto,00/00/0000,06/11/2024,-,Google,Itaú,-,16/12/2024
12/2024,6478/2,MICROSOFT,45,45,Em aberto,00/00/0000,06/11/2024,-,Microsoft,Itaú,-,16/12/2024
12/2024,6490/2,Mercado Livre,"6.097,38","6.097,38",Em aberto,00/00/0000,06/11/2024,-,Mercado Livre Ads,Itaú,-,16/12/2024
12/2024,017951/02,NANO4YOU BRASIL NANOTECNOLOGIA SA,"9.285,74","9.285,74",Em aberto,00/00/0000,07/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,29/12/2024
12/2024,008417/02,COLOR BRILHO SOLUCOES QUIMICAS LTDA,"1.765,67","1.765,67",Em aberto,00/00/0000,07/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,03/12/2024
12/2024,008417/03,COLOR BRILHO SOLUCOES QUIMICAS LTDA,"1.765,66","1.765,66",Em aberto,00/00/0000,07/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,10/12/2024
12/2024,004718/01,Continuum Chemical Latin America Ltda.,"1.194,19","1.194,19",Em aberto,00/00/0000,08/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,06/12/2024
12/2024,004718/02,Continuum Chemical Latin America Ltda.,"1.194,20","1.194,20",Em aberto,00/00/0000,08/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,13/12/2024
12/2024,237584/01,SPARTAN DO BRASIL PRODUTOS QUIMICOS LTDA,"1.035,40","1.035,40",Em aberto,00/00/0000,12/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,03/12/2024
12/2024,237584/02,SPARTAN DO BRASIL PRODUTOS QUIMICOS LTDA,"1.035,39","1.035,39",Em aberto,00/00/0000,12/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,17/12/2024
12/2024,237595/01,SPARTAN DO BRASIL PRODUTOS QUIMICOS LTDA,"1.916,82","1.916,82",Em aberto,00/00/0000,12/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,10/12/2024
12/2024,237595/02,SPARTAN DO BRASIL PRODUTOS QUIMICOS LTDA,"1.916,82","1.916,82",Em aberto,00/00/0000,12/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,17/12/2024
12/2024,237595/03,SPARTAN DO BRASIL PRODUTOS QUIMICOS LTDA,"1.916,82","1.916,82",Em aberto,00/00/0000,12/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,24/12/2024
12/2024,237595/04,SPARTAN DO BRASIL PRODUTOS QUIMICOS LTDA,"1.916,82","1.916,82",Em aberto,00/00/0000,12/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,31/12/2024
12/2024,236277/01,SPARTAN DO BRASIL PRODUTOS QUIMICOS LTDA,"293,83","293,83",Em aberto,00/00/0000,12/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,25/11/2024
12/2024,236277/02,SPARTAN DO BRASIL PRODUTOS QUIMICOS LTDA,"293,82","293,82",Em aberto,00/00/0000,12/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,02/12/2024
12/2024,236277/03,SPARTAN DO BRASIL PRODUTOS QUIMICOS LTDA,"293,82","293,82",Em aberto,00/00/0000,12/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,09/12/2024
12/2024,236277/04,SPARTAN DO BRASIL PRODUTOS QUIMICOS LTDA,"293,82","293,82",Em aberto,00/00/0000,12/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,16/12/2024
12/2024,22/2,Rodrigo Barbosa Henriques,610,610,Em aberto,00/00/0000,12/11/2024,-,Limpeza e manutenção,Itaú,-,19/12/2024
12/2024,6438/1,Pleiades Entretenimento Ltda,250,250,Em aberto,00/00/0000,12/11/2024,-,-,Itaú,-,15/12/2024
12/2024,030970/01,ESCOVAS SANTA CLARA IND. E COM. LTDA,675,675,Em aberto,00/00/0000,14/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,09/12/2024
12/2024,030970/02,ESCOVAS SANTA CLARA IND. E COM. LTDA,675,675,Em aberto,00/00/0000,14/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,23/12/2024
12/2024,020116/01,M.N. INDUSTRIA DE PELES LTDA,"1.040,16","1.040,16",Em aberto,00/00/0000,18/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,11/12/2024
12/2024,020116/02,M.N. INDUSTRIA DE PELES LTDA,"1.040,16","1.040,16",Em aberto,00/00/0000,18/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,26/12/2024
12/2024,038244/01,EasyTech Shield Brasil LTDA,"5.481,01","5.481,01",Em aberto,00/00/0000,19/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,12/12/2024
12/2024,038244/02,EasyTech Shield Brasil LTDA,"5.481,02","5.481,02",Em aberto,00/00/0000,19/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,26/12/2024
12/2024,99,TRANSPORTADORA ECONOMICA EIRELI,"241,12","241,12",Em aberto,00/00/0000,14/11/2024,-,Fretes,Itaú,-,12/12/2024
12/2024,410018/01,GUARANY INDUSTRIA E COMERCIO LTDA,"935,23","935,23",Em aberto,00/00/0000,19/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,29/11/2024
12/2024,410018/02,GUARANY INDUSTRIA E COMERCIO LTDA,"935,23","935,23",Em aberto,00/00/0000,19/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,06/12/2024
12/2024,410018/03,GUARANY INDUSTRIA E COMERCIO LTDA,"935,51","935,51",Em aberto,00/00/0000,19/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,13/12/2024
12/2024,6692/2,FOCUS DESENVOLVIMENTO GERENCIAL LTDA,"2.667,00","2.667,00",Em aberto,00/00/0000,22/11/2024,-,-,Itaú,-,27/12/2024
12/2024,1183,Lais Yuri Ansai,400,400,Em aberto,00/00/0000,18/11/2024,-,Psicóloga,Itaú,-,05/12/2024
12/2024,035440/01,G & S HOME SOLUTIONS,"1.510,66","1.510,66",Em aberto,00/00/0000,23/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,13/12/2024
12/2024,035691/01,G & S HOME SOLUTIONS,"1.414,00","1.414,00",Em aberto,00/00/0000,23/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,21/12/2024
12/2024,211-9,TRANSPORTADORA ECONOMICA EIRELI,"162,26","162,26",Em aberto,00/00/0000,22/11/2024,-,Fretes,Itaú,-,20/12/2024
12/2024,873871,TNT MERCURIO CARGAS E ENCOMENDAS EXPRESSAS S/A,"367,15","367,15",Em aberto,00/00/0000,23/11/2024,-,TNT Cargas e Encomendas,Itaú,-,07/12/2024
12/2024,238445/01,SPARTAN DO BRASIL PRODUTOS QUIMICOS LTDA,"1.754,87","1.754,87",Em aberto,00/00/0000,23/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,19/12/2024
12/2024,238445/02,SPARTAN DO BRASIL PRODUTOS QUIMICOS LTDA,"1.754,87","1.754,87",Em aberto,00/00/0000,23/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,26/12/2024
12/2024,6729/2,Embala Plastico,"547,5","547,5",Em aberto,00/00/0000,22/10/2024,-,Custo das mercadorias vendidas,Sicredi,-,30/12/2024
12/2024,106291/01,EVC INDUSTRIAL LTDA,"589,73","589,73",Em aberto,00/00/0000,25/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,09/12/2024
12/2024,106291/02,EVC INDUSTRIAL LTDA,"589,73","589,73",Em aberto,00/00/0000,25/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,26/12/2024
12/2024,004729/01,Continuum Chemical Latin America Ltda.,"1.194,19","1.194,19",Em aberto,00/00/0000,26/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,24/12/2024
12/2024,004729/02,Continuum Chemical Latin America Ltda.,"1.194,20","1.194,20",Em aberto,00/00/0000,26/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,31/12/2024
,,,"371.426,82","371.426,82",,,,,,,,
01/2025,,HYPER CONSULTORIA,0,0,Em aberto,00/00/0000,19/01/2024,-,-,Itaú,-,15/01/2025
01/2025,,HYPER CONSULTORIA,"2.500,00","2.500,00",Em aberto,00/00/0000,19/01/2024,-,-,Itaú,-,30/01/2025
01/2025,qc11501,Mayza Helena Moura Ceschin,"1.500,00","1.500,00",Em aberto,00/00/0000,19/01/2024,Boleto Bancário,Propaganda e publicidade,Itaú,-,15/01/2025
01/2025,qc11501,Mayza Helena Moura Ceschin,"1.500,00","1.500,00",Em aberto,00/00/0000,19/01/2024,Boleto Bancário,Propaganda e publicidade,Itaú,-,29/01/2025
01/2025,08/2024,Telefonica Brasil S/A,"365,34","365,34",Em aberto,00/00/0000,31/01/2024,-,Telefone,Itaú,-,17/01/2025
01/2025,1234/12,BNI BRASIL,"334,59","334,59",Em aberto,00/00/0000,09/02/2024,-,-,Itaú,-,09/01/2025
01/2025,051816/12,SG3 Consultoria,50,50,Em aberto,00/00/0000,09/02/2024,-,-,Itaú,-,09/01/2025
01/2025,1457/12,Mercado Livre,"17.623,78","17.623,78",Em aberto,00/00/0000,19/02/2024,-,Financiamento/capital de giro,Caixa,-,17/01/2025
01/2025,76350370/12,SG3 Consultoria,"5.096,31","5.096,31",Em aberto,00/00/0000,20/02/2024,-,Serviços contábeis,Itaú,-,27/01/2025
01/2025,1585/12,HYPER CONSULTORIA,950,950,Em aberto,00/00/0000,21/02/2024,-,-,Itaú,-,29/01/2025
01/2025,391905/11,LM Transportes Interestaduais Serviços e Comercio S/A,"1.789,00","1.789,00",Em aberto,00/00/0000,23/02/2024,-,Locações de máquinas e equipamentos,Itaú,-,10/01/2025
01/2025,previsão/11,E-Clik Serviços Digitais Ltda,"396,52","396,52",Em aberto,00/00/0000,04/03/2024,-,Propaganda e publicidade,Itaú,-,27/01/2025
01/2025,542162/11,Abralimp Assoc Brasileira do Mercado de Limp Profissional,386,386,Em aberto,00/00/0000,13/03/2024,-,-,Itaú,-,24/01/2025
01/2025,2290/11,HYPER CONSULTORIA,950,950,Em aberto,00/00/0000,15/03/2024,-,-,Itaú,-,15/01/2025
01/2025,2606/10,BNI BRASIL,"350,75","350,75",Em aberto,00/00/0000,30/03/2024,-,-,Sicredi,-,28/01/2025
01/2025,04/2024/10,Telefonica Brasil S/A,20,20,Em aberto,00/00/0000,10/04/2024,-,Telefone,Itaú,-,15/01/2025
01/2025,3164/9,IDERIS,"1.676,60","1.676,60",Em aberto,00/00/0000,16/04/2024,-,-,Itaú,-,15/01/2025
01/2025,3175/10,Google Internet,"8.000,00","8.000,00",Em aberto,00/00/0000,16/04/2024,-,Propaganda e publicidade,Sicredi,-,28/01/2025
01/2025,3213/10,ACE Funcional e Pilates,"238,88","238,88",Em aberto,00/00/0000,16/04/2024,-,-,Sicredi,-,28/01/2025
01/2025,3404/9,Frenet - Gateway de Fretes,157,157,Em aberto,00/00/0000,23/04/2024,-,Software,Itaú,-,06/01/2025
01/2025,3676/9,ZapSign,"69,9","69,9",Em aberto,00/00/0000,27/04/2024,-,Zap Sing,Itaú,-,15/01/2025
01/2025,418472/9,2Eletro Com e Distr de Produtos,"264,02","264,02",Em aberto,00/00/0000,14/05/2024,-,-,Sicredi,-,28/01/2025
01/2025,152/8,Robmosan Comercio de Informática,"269,93","269,93",Em aberto,00/00/0000,17/05/2024,-,-,Sicredi,-,28/01/2025
01/2025,108904/06,I.P. CLEANING INDUSTRIA E COMERCIO LTDA,"2.556,89","2.556,89",Em aberto,00/00/0000,05/07/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,10/01/2025
01/2025,108971/06,I.P. CLEANING INDUSTRIA E COMERCIO LTDA,"1.107,70","1.107,70",Em aberto,00/00/0000,10/07/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,11/01/2025
01/2025,4760/7,Dohko Technology,649,649,Em aberto,00/00/0000,13/07/2024,-,-,Sicredi,-,29/01/2025
01/2025,07/2024/6,Telefonica Brasil S/A,"79,99","79,99",Em aberto,00/00/0000,23/07/2024,-,Internet,Itaú,-,02/01/2025
01/2025,5010/6,exame,"49,75","49,75",Em aberto,00/00/0000,03/07/2024,-,-,Itaú,-,15/01/2025
01/2025,110272/05,I.P. CLEANING INDUSTRIA E COMERCIO LTDA,"2.769,25","2.769,25",Em aberto,00/00/0000,09/08/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,14/01/2025
01/2025,1/36/6,Itau,"4.393,57","4.393,57",Em aberto,00/00/0000,14/08/2024,-,Financiamento/capital de giro,Itaú,-,27/01/2025
01/2025,112148/03,I.P. CLEANING INDUSTRIA E COMERCIO LTDA,"1.314,40","1.314,40",Em aberto,00/00/0000,17/09/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,01/01/2025
01/2025,5642/3,Aliança Imóveis,"8.000,00","8.000,00",Em aberto,00/00/0000,17/09/2024,Boleto Bancário,Aluguel,Itaú,-,16/01/2025
01/2025,PREVISÃO/5,Simples Nacional,"1.195,69","1.195,69",Em aberto,00/00/0000,19/09/2024,-,Impostos sobre vendas,Itaú,-,30/01/2025
01/2025,28572031/4,Boa Vista Serviços S/A,"101,07","101,07",Em aberto,00/00/0000,26/09/2024,-,Boa Vista Analise de Credito,Itaú,-,08/01/2025
01/2025,112658/03,I.P. CLEANING INDUSTRIA E COMERCIO LTDA,"1.000,74","1.000,74",Em aberto,00/00/0000,01/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,15/01/2025
01/2025,112666/03,I.P. CLEANING INDUSTRIA E COMERCIO LTDA,"2.026,08","2.026,08",Em aberto,00/00/0000,01/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,15/01/2025
01/2025,112752/03,I.P. CLEANING INDUSTRIA E COMERCIO LTDA,"3.725,58","3.725,58",Em aberto,00/00/0000,01/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,15/01/2025
01/2025,11823/4,Gotarget Softwares Ltda,200,200,Em aberto,00/00/0000,02/10/2024,Boleto Bancário,Gotarget,Itaú,-,05/01/2025
01/2025,146131/3,Seguros Sura S/A,"63,64","63,64",Em aberto,00/00/0000,04/10/2024,Boleto Bancário,-,Itaú,-,03/01/2025
01/2025,034192/03,G & S HOME SOLUTIONS,"8.767,34","8.767,34",Em aberto,00/00/0000,09/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,02/01/2025
01/2025,5971/4,Porto Seguro Cia,"208,91","208,91",Em aberto,00/00/0000,16/09/2024,-,Segurança,Itaú,-,15/01/2025
01/2025,037732/05,EasyTech Shield Brasil LTDA,"5.350,93","5.350,93",Em aberto,00/00/0000,11/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,02/01/2025
01/2025,09/2024/4,Sabesp,"304,51","304,51",Em aberto,00/00/0000,12/10/2024,Boleto Bancário,Água,Itaú,-,25/01/2025
01/2025,11/2024,EDP,"515,25","515,25",Em aberto,00/00/0000,14/10/2024,Boleto Bancário,Energia elétrica,Itaú,-,18/01/2025
01/2025,017399/03,NANO4YOU BRASIL NANOTECNOLOGIA SA,"2.172,60","2.172,60",Em aberto,00/00/0000,15/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,08/01/2025
01/2025,017416/03,NANO4YOU BRASIL NANOTECNOLOGIA SA,"4.742,09","4.742,09",Em aberto,00/00/0000,15/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,09/01/2025
01/2025,6073/4,Bling Organisys Software,425,425,Em aberto,00/00/0000,16/10/2024,Boleto Bancário,BLING,Itaú,-,16/01/2025
01/2025,113270/03,I.P. CLEANING INDUSTRIA E COMERCIO LTDA,"2.525,34","2.525,34",Em aberto,00/00/0000,16/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,29/01/2025
01/2025,034482/03,G & S HOME SOLUTIONS,"4.434,00","4.434,00",Em aberto,00/00/0000,17/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,13/01/2025
01/2025,6111/4,BR24 SERVICES,"585,83","585,83",Em aberto,00/00/0000,17/10/2024,-,BR24,Sicredi,-,28/01/2025
01/2025,6123/4,PANDA VIDEO,"60,5","60,5",Em aberto,00/00/0000,17/10/2024,-,PANDA VIDEO,Sicredi,-,28/01/2025
01/2025,017651/03,NANO4YOU BRASIL NANOTECNOLOGIA SA,"2.371,05","2.371,05",Em aberto,00/00/0000,23/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,19/01/2025
01/2025,113564/02,I.P. CLEANING INDUSTRIA E COMERCIO LTDA,"7.664,04","7.664,04",Em aberto,00/00/0000,23/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,10/01/2025
01/2025,017744/03,NANO4YOU BRASIL NANOTECNOLOGIA SA,"9.285,74","9.285,74",Em aberto,00/00/0000,25/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,21/01/2025
01/2025,017740/03,NANO4YOU BRASIL NANOTECNOLOGIA SA,"287,89","287,89",Em aberto,00/00/0000,25/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,21/01/2025
01/2025,35751341/4,Fundação de Apoio à Universidade de São Paulo - USP,"564,55","564,55",Em aberto,00/00/0000,25/10/2024,-,Treinamento e Aperfeiçoamento,Itaú,-,31/01/2025
01/2025,13/66/4,PRONAMPE,"3.934,12","3.934,12",Em aberto,00/00/0000,27/10/2024,-,Financiamento/capital de giro,Sicredi,-,27/01/2025
01/2025,034717/03,G & S HOME SOLUTIONS,"7.737,34","7.737,34",Em aberto,00/00/0000,28/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,21/01/2025
01/2025,017897/03,NANO4YOU BRASIL NANOTECNOLOGIA SA,"1.086,30","1.086,30",Em aberto,00/00/0000,29/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,27/01/2025
01/2025,037977/04,EasyTech Shield Brasil LTDA,"5.942,39","5.942,39",Em aberto,00/00/0000,30/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,06/01/2025
01/2025,037977/05,EasyTech Shield Brasil LTDA,"5.942,39","5.942,39",Em aberto,00/00/0000,30/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,20/01/2025
01/2025,331670/03,CHIAPERINI INDUSTRIAL LTDA,"1.177,00","1.177,00",Em aberto,00/00/0000,31/10/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,23/01/2025
01/2025,034923/02,G & S HOME SOLUTIONS,"4.576,60","4.576,60",Em aberto,00/00/0000,06/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,29/12/2024
01/2025,6448/3,contabilidade,"4.421,67","4.421,67",Em aberto,00/00/0000,06/11/2024,-,-,Itaú,-,27/01/2025
01/2025,6466/3,Google Internet,"8.000,00","8.000,00",Em aberto,00/00/0000,06/11/2024,-,Google,Itaú,-,15/01/2025
01/2025,6478/3,MICROSOFT,45,45,Em aberto,00/00/0000,06/11/2024,-,Microsoft,Itaú,-,15/01/2025
01/2025,6490/3,Mercado Livre,"6.097,38","6.097,38",Em aberto,00/00/0000,06/11/2024,-,Mercado Livre Ads,Itaú,-,15/01/2025
01/2025,017951/03,NANO4YOU BRASIL NANOTECNOLOGIA SA,"9.285,74","9.285,74",Em aberto,00/00/0000,07/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,28/01/2025
01/2025,237595/05,SPARTAN DO BRASIL PRODUTOS QUIMICOS LTDA,"1.916,82","1.916,82",Em aberto,00/00/0000,12/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,07/01/2025
01/2025,236277/05,SPARTAN DO BRASIL PRODUTOS QUIMICOS LTDA,"293,82","293,82",Em aberto,00/00/0000,12/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,23/12/2024
01/2025,6438/2,Pleiades Entretenimento Ltda,250,250,Em aberto,00/00/0000,12/11/2024,-,-,Itaú,-,15/01/2025
01/2025,020116/03,M.N. INDUSTRIA DE PELES LTDA,"1.040,16","1.040,16",Em aberto,00/00/0000,18/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,08/01/2025
01/2025,038244/03,EasyTech Shield Brasil LTDA,"5.481,02","5.481,02",Em aberto,00/00/0000,19/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,09/01/2025
01/2025,038244/04,EasyTech Shield Brasil LTDA,"5.481,02","5.481,02",Em aberto,00/00/0000,19/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,23/01/2025
01/2025,6692/3,FOCUS DESENVOLVIMENTO GERENCIAL LTDA,"2.667,00","2.667,00",Em aberto,00/00/0000,22/11/2024,-,-,Itaú,-,27/01/2025
01/2025,035440/02,G & S HOME SOLUTIONS,"1.510,66","1.510,66",Em aberto,00/00/0000,23/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,12/01/2025
01/2025,035691/02,G & S HOME SOLUTIONS,"1.414,00","1.414,00",Em aberto,00/00/0000,23/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,20/01/2025
01/2025,238445/03,SPARTAN DO BRASIL PRODUTOS QUIMICOS LTDA,"1.754,87","1.754,87",Em aberto,00/00/0000,23/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,02/01/2025
01/2025,238445/04,SPARTAN DO BRASIL PRODUTOS QUIMICOS LTDA,"1.754,87","1.754,87",Em aberto,00/00/0000,23/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,09/01/2025
01/2025,238445/05,SPARTAN DO BRASIL PRODUTOS QUIMICOS LTDA,"1.754,87","1.754,87",Em aberto,00/00/0000,23/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,16/01/2025
01/2025,6741/1,CORREIOS,"11.000,00","11.000,00",Em aberto,00/00/0000,23/11/2024,-,Correios,Itaú,-,11/01/2025
01/2025,106291/03,EVC INDUSTRIAL LTDA,"589,73","589,73",Em aberto,00/00/0000,25/11/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,09/01/2025
,,,"219.142,31","219.142,31",,,,,,,,
02/2025,,HYPER CONSULTORIA,0,0,Em aberto,00/00/0000,20/01/2024,-,-,Itaú,-,17/02/2025
02/2025,,HYPER CONSULTORIA,"2.500,00","2.500,00",Em aberto,00/00/0000,20/01/2024,-,-,Itaú,-,28/02/2025
02/2025,qc11501,Mayza Helena Moura Ceschin,"1.500,00","1.500,00",Em aberto,00/00/0000,20/01/2024,Boleto Bancário,Propaganda e publicidade,Itaú,-,17/02/2025
02/2025,qc11501,Mayza Helena Moura Ceschin,"1.500,00","1.500,00",Em aberto,00/00/0000,20/01/2024,Boleto Bancário,Propaganda e publicidade,Itaú,-,28/02/2025
02/2025,1457/13,Mercado Livre,"17.623,78","17.623,78",Em aberto,00/00/0000,19/02/2024,-,Financiamento/capital de giro,Caixa,-,17/02/2025
02/2025,391905/12,LM Transportes Interestaduais Serviços e Comercio S/A,"1.789,00","1.789,00",Em aberto,00/00/0000,23/02/2024,-,Locações de máquinas e equipamentos,Itaú,-,10/02/2025
02/2025,previsão/12,E-Clik Serviços Digitais Ltda,"396,52","396,52",Em aberto,00/00/0000,04/03/2024,-,Propaganda e publicidade,Itaú,-,25/02/2025
02/2025,542162/12,Abralimp Assoc Brasileira do Mercado de Limp Profissional,386,386,Em aberto,00/00/0000,13/03/2024,-,-,Itaú,-,24/02/2025
02/2025,2290/12,HYPER CONSULTORIA,950,950,Em aberto,00/00/0000,15/03/2024,-,-,Itaú,-,17/02/2025
02/2025,2606/11,BNI BRASIL,"350,75","350,75",Em aberto,00/00/0000,30/03/2024,-,-,Sicredi,-,28/02/2025
02/2025,04/2024/11,Telefonica Brasil S/A,20,20,Em aberto,00/00/0000,10/04/2024,-,Telefone,Itaú,-,17/02/2025
02/2025,3164/10,IDERIS,"1.676,60","1.676,60",Em aberto,00/00/0000,16/04/2024,-,-,Itaú,-,17/02/2025
02/2025,3175/11,Google Internet,"8.000,00","8.000,00",Em aberto,00/00/0000,16/04/2024,-,Propaganda e publicidade,Sicredi,-,28/02/2025
02/2025,3404/10,Frenet - Gateway de Fretes,157,157,Em aberto,00/00/0000,23/04/2024,-,Software,Itaú,-,05/02/2025
02/2025,3676/10,ZapSign,"69,9","69,9",Em aberto,00/00/0000,27/04/2024,-,Zap Sing,Itaú,-,17/02/2025
02/2025,418472/10,2Eletro Com e Distr de Produtos,"264,02","264,02",Em aberto,00/00/0000,14/05/2024,-,-,Sicredi,-,28/02/2025
02/2025,152/9,Robmosan Comercio de Informática,"269,93","269,93",Em aberto,00/00/0000,17/05/2024,-,-,Sicredi,-,28/02/2025
02/2025,108904/07,I.P. CLEANING INDUSTRIA E COMERCIO LTDA,"2.556,89","2.556,89",Em aberto,00/00/0000,05/07/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,09/02/2025
02/2025,108971/07,I.P. CLEANING INDUSTRIA E COMERCIO LTDA,"1.107,70","1.107,70",Em aberto,00/00/0000,10/07/2024,Boleto Bancário,Compras de fornecedores,Itaú,-,10/02/2025
02/2025,4760/8,Dohko Technology,649,649,Em aberto,00/00/0000,13/07/2024,-,-,Sicredi,-,28/02/2025
02/2025,07/2024/7,Telefonica Brasil S/A,"79,99","79,99",Em aberto,00/00/0000,23/07/2024,-,Internet,Itaú,-,03/02/2025
02/2025,5010/7,exame,"49,75","49,75",Em aberto,00/00/0000,03/07/2024,-,-,Itaú,-,17/02/2025
