Series_Title,Genre,IMDB_Rating,No_of_Votes,score,Meta_score,Released_Year,Director
The Dark Knight,drama,9.0,2303232,57.26104086914748,84.0,2008,Christopher Nolan
The Godfather,drama,9.2,1620367,57.12844565257047,100.0,1972,Francis Ford Coppola
Pulp Fiction,drama,8.9,1826188,55.72775693017447,94.0,1994,Quentin Tarantino
The Lord of the Rings: The Return of the King,drama,8.9,1642758,55.31860731118812,94.0,2003,Peter Jackson
Fight Club,drama,8.8,1854740,55.160892796897734,66.0,1999,David Fincher
