arquivo,numero,tema
Proposicao46.txt,005.00019.2024,Estabelece Curitiba como Capital do Turismo Ferroviário
Proposicao47.txt,005.00019.2022,Revoga o parágrafo 1º do Art
Proposicao48.txt,005.00017.2024,"Dispõe sobre a publicidade ao ar livre temporária, em espaços públicos, para eventos esportivos e de atividade física licenciados pelo Município de Curitiba"
Proposicao49.txt,005.00016.2024,Dispõe sobre a autorização de prestação  de  serviços  ou comércio temporário em eventos esportivos e de atividade física licenciados pelo Município de Curitiba
Proposicao50.txt,005.00014.2024,Institui a Política Municipal de Bem-estar e à Felicidade Art
Proposicao51.txt,005.00010.2024,"Suprime, desafeta e incorpora área de terreno aos bens dominicais e autoriza o Poder Executivo a alienar em favor de Valmir Boaventura Filho a área que especifica"
Proposicao52.txt,005.00009.2024,Acrescenta o artigo 1º-A a Lei nº 16
Proposicao53.txt,005.00008.2024,"Dispõe  sobre  a  concessão  de potencial  construtivo  adicional, mediante  os  instrumentos  da Outorga Onerosa do Direito de Construir, Transferência do Direito de Construir e Cotas de Potencial Construtivo  no  Município  de Curitiba e revoga a Lei nº 15"
Proposicao54.txt,005.00006.2024,"Dispõe sobre os prêmios, incentivos construtivos e condições especiais de ocupação do Município de Curitiba, altera a redação do art"
Proposicao55.txt,005.00002.2024,Dispõe sobre a alteração da representação da pessoa idosa em símbolos  de  atendimento prioritário
Proposicao56.txt,002.00010.2023,"dispositivos à  Acrescenta Lei Complementar nº 40/2001, de 18 de dezembro de 2001, que ""DISPÕE  SOBRE  OS TRIBUTOS  MUNICIPAIS, REVOGANDO AS LEIS Nº 6"
Proposicao57.txt,002.00003.2023,Acrescenta o inciso IV ao art
Proposicao58.txt,Não encontrado,Não encontrado
Proposicao59.txt,033.00008.2024,"Projeto  de  Lei  Ordinária, proposição"
